Name,Client Number,Open Date,Status,Client Originating Attorney
"UDR, Inc.",100463,2018-08-16,Closed,Jamie Patel
Ulta Beauty,100464,2019-09-17,On Hold,Morgan Blake
Union Pacific Corporation,100465,2020-10-18,Active,Jordan Lee
United Airlines Holdings,100466,2021-11-19,Active,Riley Chen
United Parcel Service,100467,2022-12-20,Pending,Taylor Brooks
United Rentals,100468,2023-01-21,Closed,Casey Nguyen
UnitedHealth Group,100469,2024-02-22,On Hold,Alex Rivera
Universal Health Services,100470,2015-03-23,Active,Sam Okonkwo
Valero Energy,100471,2016-04-24,Active,Jamie Patel
Ventas,100472,2017-05-25,Pending,Morgan Blake
Veralto,100473,2018-06-26,Closed,Jordan Lee
Verisign,100474,2019-07-27,On Hold,Riley Chen
Verisk Analytics,100475,2020-08-28,Active,Taylor Brooks
Verizon,100476,2021-09-01,Active,Casey Nguyen
Vertex Pharmaceuticals,100477,2022-10-02,Pending,Alex Rivera
Vertiv,100478,2023-11-03,Closed,Sam Okonkwo
Viatris,100479,2024-12-04,On Hold,Jamie Patel
Vici Properties,100480,2015-01-05,Active,Morgan Blake
Visa Inc.,100481,2016-02-06,Active,Jordan Lee
Vistra Corp.,100482,2017-03-07,Pending,Riley Chen
Vulcan Materials Company,100483,2018-04-08,Closed,Taylor Brooks
W. R. Berkley Corporation,100484,2019-05-09,On Hold,Casey Nguyen
W. W. Grainger,100485,2020-06-10,Active,Alex Rivera
Wabtec,100486,2021-07-11,Active,Sam Okonkwo
Walt Disney Company (The),100487,2022-08-12,Pending,Jamie Patel
Warner Bros. Discovery,100488,2023-09-13,Closed,Morgan Blake
Waste Management,100489,2024-10-14,On Hold,Jordan Lee
Waters Corporation,100490,2015-11-15,Active,Riley Chen
WEC Energy Group,100491,2016-12-16,Active,Taylor Brooks
Wells Fargo,100492,2017-01-17,Pending,Casey Nguyen
Welltower,100493,2018-02-18,Closed,Alex Rivera
West Pharmaceutical Services,100494,2019-03-19,On Hold,Sam Okonkwo
Western Digital,100495,2020-04-20,Active,Jamie Patel
Weyerhaeuser,100496,2021-05-21,Active,Morgan Blake
"Williams-Sonoma, Inc.",100497,2022-06-22,Pending,Jordan Lee
Williams Companies,100498,2023-07-23,Closed,Riley Chen
Willis Towers Watson,100499,2024-08-24,On Hold,Taylor Brooks
