Name,Client Number,Open Date,Status,Client Originating Attorney
"Tesla, Inc.",100460,2015-05-13,Active,Casey Nguyen
Texas Instruments,100461,2016-06-14,Active,Alex Rivera
Texas Pacific Land Corporation,100462,2017-07-15,Pending,Sam Okonkwo
Textron,100463,2018-08-16,Closed,Jamie Patel
Thermo Fisher Scientific,100464,2019-09-17,On Hold,Morgan Blake
TJX Companies,100465,2020-10-18,Active,Jordan Lee
TKO Group Holdings,100466,2021-11-19,Active,Riley Chen
Trade Desk (The),100467,2022-12-20,Pending,Taylor Brooks
Tractor Supply,100468,2023-01-21,Closed,Casey Nguyen
Trane Technologies,100469,2024-02-22,On Hold,Alex Rivera
TransDigm Group,100470,2015-03-23,Active,Sam Okonkwo
Travelers Companies (The),100471,2016-04-24,Active,Jamie Patel
Trimble Inc.,100472,2017-05-25,Pending,Morgan Blake
Truist Financial,100473,2018-06-26,Closed,Jordan Lee
Tyler Technologies,100474,2019-07-27,On Hold,Riley Chen
Tyson Foods,100475,2020-08-28,Active,Taylor Brooks
U.S. Bancorp,100476,2021-09-01,Active,Casey Nguyen
Uber,100477,2022-10-02,Pending,Alex Rivera
"UDR, Inc.",100478,2023-11-03,Closed,Sam Okonkwo
Ulta Beauty,100479,2024-12-04,On Hold,Jamie Patel
Union Pacific Corporation,100480,2015-01-05,Active,Morgan Blake
United Airlines Holdings,100481,2016-02-06,Active,Jordan Lee
United Parcel Service,100482,2017-03-07,Pending,Riley Chen
United Rentals,100483,2018-04-08,Closed,Taylor Brooks
UnitedHealth Group,100484,2019-05-09,On Hold,Casey Nguyen
Universal Health Services,100485,2020-06-10,Active,Alex Rivera
Valero Energy,100486,2021-07-11,Active,Sam Okonkwo
Ventas,100487,2022-08-12,Pending,Jamie Patel
Veralto,100488,2023-09-13,Closed,Morgan Blake
Verisign,100489,2024-10-14,On Hold,Jordan Lee
Verisk Analytics,100490,2015-11-15,Active,Riley Chen
Verizon,100491,2016-12-16,Active,Taylor Brooks
Vertex Pharmaceuticals,100492,2017-01-17,Pending,Casey Nguyen
Vertiv,100493,2018-02-18,Closed,Alex Rivera
Viatris,100494,2019-03-19,On Hold,Sam Okonkwo
Vici Properties,100495,2020-04-20,Active,Jamie Patel
Vistra Corp.,100496,2021-05-21,Active,Morgan Blake
Vulcan Materials Company,100497,2022-06-22,Pending,Jordan Lee
W. R. Berkley Corporation,100498,2023-07-23,Closed,Riley Chen
W. W. Grainger,100499,2024-08-24,On Hold,Taylor Brooks
