Name,Client Number,Open Date,Status,Client Originating Attorney
Uber,100463,2018-08-16,Closed,Jamie Patel
"UDR, Inc.",100464,2019-09-17,On Hold,Morgan Blake
Ulta Beauty,100465,2020-10-18,Active,Jordan Lee
Union Pacific Corporation,100466,2021-11-19,Active,Riley Chen
United Airlines Holdings,100467,2022-12-20,Pending,Taylor Brooks
United Parcel Service,100468,2023-01-21,Closed,Casey Nguyen
United Rentals,100469,2024-02-22,On Hold,Alex Rivera
UnitedHealth Group,100470,2015-03-23,Active,Sam Okonkwo
Universal Health Services,100471,2016-04-24,Active,Jamie Patel
Valero Energy,100472,2017-05-25,Pending,Morgan Blake
Ventas,100473,2018-06-26,Closed,Jordan Lee
Veralto,100474,2019-07-27,On Hold,Riley Chen
Verisign,100475,2020-08-28,Active,Taylor Brooks
Verisk Analytics,100476,2021-09-01,Active,Casey Nguyen
Verizon,100477,2022-10-02,Pending,Alex Rivera
Vertex Pharmaceuticals,100478,2023-11-03,Closed,Sam Okonkwo
Vertiv,100479,2024-12-04,On Hold,Jamie Patel
Viatris,100480,2015-01-05,Active,Morgan Blake
Vici Properties,100481,2016-02-06,Active,Jordan Lee
Visa Inc.,100482,2017-03-07,Pending,Riley Chen
Vistra Corp.,100483,2018-04-08,Closed,Taylor Brooks
Vulcan Materials Company,100484,2019-05-09,On Hold,Casey Nguyen
W. R. Berkley Corporation,100485,2020-06-10,Active,Alex Rivera
W. W. Grainger,100486,2021-07-11,Active,Sam Okonkwo
Wabtec,100487,2022-08-12,Pending,Jamie Patel
Walt Disney Company (The),100488,2023-09-13,Closed,Morgan Blake
Warner Bros. Discovery,100489,2024-10-14,On Hold,Jordan Lee
Waste Management,100490,2015-11-15,Active,Riley Chen
Waters Corporation,100491,2016-12-16,Active,Taylor Brooks
WEC Energy Group,100492,2017-01-17,Pending,Casey Nguyen
Wells Fargo,100493,2018-02-18,Closed,Alex Rivera
Welltower,100494,2019-03-19,On Hold,Sam Okonkwo
West Pharmaceutical Services,100495,2020-04-20,Active,Jamie Patel
Western Digital,100496,2021-05-21,Active,Morgan Blake
Weyerhaeuser,100497,2022-06-22,Pending,Jordan Lee
"Williams-Sonoma, Inc.",100498,2023-07-23,Closed,Riley Chen
Williams Companies,100499,2024-08-24,On Hold,Taylor Brooks
